N	simple-vector	2d-array	vote-run	commset	multi-blocks	simple-io	motivation
10	0.006525	0.004222	0.000141	0.000286	0.000156	0.022670	0.002734
20	0.006485	0.004206	0.000107	0.000298	0.000181	0.022432	0.002732
50	0.006556	0.004370	0.000101	0.000259	0.000186	0.022847	0.002695
100	0.006316	0.004278	0.000132	0.000290	0.000231	0.022717	0.002612
200	0.006417	0.004270	0.000155	0.000289	0.000275	0.022557	0.002802
500	0.006587	0.004410	0.000307	0.000393	0.000455	0.023720	0.002646
1000	0.006909	0.004698	0.000532	0.000329	0.000741	0.022607	0.002631
2000	0.007055	0.004901	0.000976	0.000339	0.001525	0.023133	0.002878
5000	0.008298	0.005875	0.001613	0.000538	0.003740	0.022776	0.002704
10000	0.009569	0.007635	0.003451	0.000689	0.006679	0.023241	0.003576
20000	0.012885	0.010846	0.006154	0.001098	0.012715	0.022902	0.002750
50000	0.021902	0.021447	0.015531	0.002840	0.031359	0.022673	0.006717
100000	0.036527	0.039399	0.030429	0.004967	0.061673	0.022535	0.010802
200000	0.066850	0.075582	0.060894	0.009560	0.121736	0.022884	0.035758
500000	0.161760	0.183218	0.151853	0.024548	0.303752	0.023529	0.046433
1000000	0.308953	0.363771	0.303476	0.042402	0.606802	0.039841	0.091818
2000000	0.611020	0.723761	0.606199	0.080899	1.212258	0.073108	0.182131
5000000	1.527060	1.805309	1.517381	0.173305	3.036880	0.173495	0.456333
10000000	3.028798	3.602733	3.033462	0.328008	6.067671	0.370779	0.908170
20000000	6.072191	7.179116	6.078608	0.622341	12.138557	0.743236	1.824451
50000000	15.157713	17.983973	15.152250	1.602191	30.241553	1.882894	4.543514
