N	simple-vector	2d-array	vote-run	commset	multi-blocks	simple-io	motivation
10	1.005720	3.055043	0.183802	1.414118	0.394633	1.094414	0.802667
20	1.038399	3.065496	0.364216	1.397055	0.473686	1.104142	0.793017
50	1.036840	2.935860	0.743942	1.582983	0.699837	1.083947	0.824721
100	1.056505	3.147604	1.033892	1.442077	0.856942	1.073457	0.856842
200	1.055863	3.403960	1.650751	1.337149	1.297324	1.071725	0.827691
500	1.076657	3.277919	2.144354	1.157351	1.762930	1.017213	0.922382
1000	1.066617	3.443073	2.404517	1.602848	2.077016	1.078450	1.041714
2000	1.109353	3.877181	2.564222	1.890694	2.038580	1.081860	1.204217
5000	1.183051	4.764265	3.830945	1.931327	2.067621	1.057169	1.929752
10000	1.330900	5.639965	3.562120	3.076019	2.278078	1.094141	2.272224
20000	1.460820	6.775134	3.961347	3.103135	2.410195	1.133002	5.260523
50000	1.693060	7.594697	3.922222	2.429253	2.433271	1.225180	5.006604
100000	1.848920	7.917513	3.985707	2.544950	2.469394	1.345323	5.862248
200000	1.913286	8.091645	3.985258	2.499254	2.491274	1.447708	3.467570
500000	1.916114	8.259358	3.994383	2.271539	2.493611	1.908425	6.571762
1000000	1.985812	8.265958	3.994594	2.582185	2.494967	1.575586	6.643628
2000000	1.991288	8.305776	3.994978	2.726461	2.497170	1.423676	6.691338
5000000	1.999409	8.356606	4.004392	3.174219	2.585660	1.245556	6.662949
10000000	2.005148	8.358806	4.128999	3.366182	2.492107	1.080284	6.681154
20000000	1.992530	8.370057	3.993030	3.578381	2.500735	1.047635	6.653313
50000000	1.997919	8.332041	3.997083	3.602340	2.500226	0.996901	6.650358
