N	simple-vector	2d-array	vote-run	commset	multi-blocks	simple-io	motivation
10	0.006552	0.012899	0.000026	0.000403	0.000062	0.024810	0.002193
20	0.006734	0.012890	0.000039	0.000415	0.000086	0.024769	0.002166
50	0.006794	0.012831	0.000074	0.000410	0.000131	0.024796	0.002221
100	0.006673	0.013464	0.000135	0.000418	0.000198	0.024403	0.002238
200	0.006775	0.014573	0.000255	0.000385	0.000356	0.024169	0.002318
500	0.007090	0.014456	0.000640	0.000454	0.000803	0.024134	0.002440
1000	0.007366	0.016173	0.001233	0.000527	0.001539	0.024392	0.002740
2000	0.007827	0.019001	0.002483	0.000641	0.003082	0.025042	0.003455
5000	0.009798	0.027990	0.006177	0.001037	0.007731	0.024072	0.005218
10000	0.012734	0.043040	0.012241	0.002119	0.015214	0.025424	0.008062
20000	0.018821	0.073478	0.024378	0.003397	0.030644	0.025968	0.014457
50000	0.037072	0.162880	0.060908	0.006894	0.076304	0.027796	0.032865
100000	0.067535	0.311934	0.121279	0.012635	0.152297	0.030321	0.063029
200000	0.127902	0.611587	0.242679	0.023891	0.303277	0.033148	0.123937
500000	0.309859	1.513260	0.606559	0.055657	0.757440	0.044889	0.305146
1000000	0.613526	3.006916	1.212263	0.109421	1.513951	0.062773	0.609997
2000000	1.216716	6.011401	2.421749	0.220500	3.027195	0.104080	1.218703
5000000	3.053217	15.086258	6.076177	0.550102	7.856965	0.215838	3.040491
10000000	6.073175	30.114738	12.534773	1.104129	15.121365	0.400548	6.067614
20000000	12.099021	60.089693	24.272076	2.225502	30.355339	0.778647	12.138638
50000000	30.283914	149.843451	60.564746	5.771593	75.610855	1.877034	30.216011
