N	simple-vector	2d-array	vote-run	commset	multi-blocks	simple-io	motivation
10	0.916462	2.935405	0.217168	0.624874	0.632076	1.075763	0.840139
20	0.860509	2.880190	0.367799	0.664233	0.824839	1.088290	0.824378
50	0.907003	3.022338	0.667149	0.665108	1.131144	1.060437	0.855713
100	0.876664	3.082742	0.684118	0.578812	1.274650	1.090881	0.848259
200	0.923349	3.063888	0.889384	0.633709	1.590088	1.064051	0.910171
500	0.927573	3.246024	0.792100	0.650760	1.510108	1.061455	1.000364
1000	0.955249	3.659132	0.991140	0.707898	1.814344	1.078185	1.251459
2000	1.010080	4.403196	1.001302	0.768116	2.067475	1.114891	1.442050
5000	1.167864	5.627367	0.958426	0.797404	1.983592	1.080289	1.038605
10000	1.306828	6.476092	1.025447	1.002851	1.917827	1.112049	1.125116
20000	1.357700	7.413831	0.996126	0.914071	1.953800	1.045942	0.976679
50000	1.437707	7.938748	0.992852	0.915377	2.005864	1.117690	0.973366
100000	1.471883	8.122072	1.003242	0.875857	1.989681	1.156785	0.990453
200000	1.478517	8.231440	0.996089	0.901044	2.000334	1.065586	1.003261
500000	1.496675	8.265593	0.999379	0.936949	1.997120	1.051159	1.000458
1000000	1.499451	8.292700	0.999635	0.954009	2.001368	0.996711	0.996933
2000000	1.498341	8.276310	1.001071	0.973766	2.002040	1.009889	0.992897
5000000	1.496149	8.381134	1.000326	0.973858	1.995930	1.006363	1.001140
10000000	1.501151	8.379079	1.000021	1.011689	2.002151	0.998932	0.995924
20000000	1.502266	8.352273	0.998439	0.996071	2.005573	1.000776	0.998584
50000000	1.496771	8.326889	0.996501	0.991121	1.991389	0.992343	0.999266
