N	simple-vector	2d-array	vote-run	commset	multi-blocks	simple-io	motivation
10	0.006845	0.013514	0.000027	0.000410	0.000080	0.025469	0.002214
20	0.006962	0.013211	0.000040	0.000460	0.000094	0.024537	0.002243
50	0.007127	0.013653	0.000075	0.000407	0.000153	0.024597	0.002262
100	0.007139	0.013599	0.000135	0.000452	0.000244	0.028511	0.002204
200	0.007347	0.014111	0.000258	0.000400	0.000418	0.028251	0.002301
500	0.007426	0.015079	0.000634	0.000452	0.000973	0.028080	0.002512
1000	0.007963	0.016756	0.001227	0.000543	0.001878	0.028896	0.002781
2000	0.008942	0.019517	0.002495	0.000616	0.003743	0.028533	0.003410
5000	0.011735	0.028599	0.006189	0.000932	0.009237	0.028618	0.005230
10000	0.016113	0.043445	0.012190	0.002032	0.018464	0.028836	0.008273
20000	0.025453	0.073714	0.024519	0.003117	0.036772	0.029129	0.014475
50000	0.052866	0.163911	0.061084	0.006334	0.091457	0.031192	0.032787
100000	0.098757	0.315073	0.121255	0.011273	0.182372	0.032834	0.063309
200000	0.189489	0.613109	0.242273	0.021187	0.362532	0.033657	0.123866
500000	0.461340	1.512442	0.603911	0.049890	0.909612	0.045090	0.305720
1000000	0.915037	3.000708	1.211184	0.096626	1.816769	0.061350	0.607804
2000000	1.824788	5.993438	2.429038	0.194921	3.738542	0.096289	1.217424
5000000	4.560523	15.037918	6.034515	0.488792	9.061509	0.194596	3.028979
10000000	9.108033	30.053694	12.137932	0.977519	18.201986	0.366044	6.071021
20000000	18.198945	60.383185	24.285160	1.954950	36.411334	0.701770	12.119561
50000000	45.396822	149.723980	60.675283	5.100626	90.932832	1.707150	30.331784
