N	simple-vector	2d-array	vote-run	commset	multi-blocks	simple-io	motivation
10	0.011534	0.004294	0.000111	0.000723	0.000105	0.004718	0.002749
20	0.011182	0.004405	0.000106	0.000628	0.000091	0.004684	0.002758
50	0.011540	0.004379	0.000190	0.000657	0.000120	0.004641	0.002799
100	0.011032	0.004443	0.000370	0.000687	0.000207	0.004639	0.002831
200	0.011901	0.004653	0.000547	0.000646	0.000240	0.004617	0.002803
500	0.012338	0.004707	0.001303	0.000674	0.000392	0.004599	0.003010
1000	0.012167	0.004952	0.002715	0.000805	0.000803	0.004641	0.003332
2000	0.013915	0.005668	0.005366	0.000927	0.001375	0.004636	0.004030
5000	0.017729	0.007654	0.012757	0.001347	0.003407	0.004712	0.005951
10000	0.023841	0.011272	0.025995	0.002053	0.006390	0.004469	0.008951
20000	0.035710	0.018099	0.049765	0.003779	0.012488	0.004778	0.014833
50000	0.071125	0.039341	0.123282	0.007088	0.030393	0.005065	0.033507
100000	0.131640	0.075679	0.243550	0.012214	0.060577	0.005324	0.063615
200000	0.253237	0.147345	0.484733	0.022208	0.121454	0.007493	0.125740
500000	0.616714	0.363152	1.213217	0.051816	0.302855	0.017343	0.307376
1000000	1.222743	0.722024	2.419379	0.099535	0.607073	0.029349	0.609075
2000000	2.443538	1.443520	4.836087	0.193987	1.214507	0.061802	1.226039
5000000	6.085795	3.596287	12.143054	0.480843	3.037956	0.156546	3.037260
10000000	12.140406	7.197336	24.346558	0.964562	6.087148	0.317357	6.053209
20000000	24.420082	14.383252	48.742100	1.936961	12.169770	0.640080	12.126061
50000000	60.796190	35.938747	121.418972	5.136449	30.380158	1.699446	30.308056
