N	simple-vector	2d-array	vote-run	commset	multi-blocks	simple-io	motivation
10	0.558389	2.977814	0.398722	0.534310	0.963521	5.516173	0.786950
20	0.592154	2.944366	0.659886	0.670204	1.498265	5.754939	0.797216
50	0.582000	2.975723	0.713242	0.588527	2.110100	5.724663	0.798699
100	0.622370	3.020456	0.740607	0.667850	2.024740	5.690026	0.803432
200	0.598435	3.019349	1.020191	0.667121	3.520032	5.769081	0.865317
500	0.610470	3.362294	1.006659	0.673675	5.048077	5.773319	0.917284
1000	0.697605	3.845716	0.974520	0.624353	4.660437	5.765297	1.030216
2000	0.752704	4.416959	1.019400	0.667477	5.454454	5.843389	1.150755
5000	0.895956	5.614417	0.953051	0.689105	5.584512	5.661532	1.381976
10000	1.048404	6.468168	0.939205	0.976318	5.802271	6.154935	1.613109
20000	1.210721	7.335852	1.004116	0.820977	5.847501	5.825519	1.813807
50000	1.369311	7.925549	0.984633	0.896270	5.987339	6.014019	1.904719
100000	1.435663	8.083917	0.993552	0.933966	5.992657	6.298780	1.949653
200000	1.460786	8.217230	1.000599	0.957955	5.978289	6.066521	1.948999
500000	1.480298	8.258844	0.997989	0.961328	5.995793	3.498647	1.979554
1000000	1.488419	8.305456	0.998624	0.968617	5.980728	3.323347	1.993029
2000000	1.488813	8.304458	0.999407	1.009724	5.983746	2.962048	1.994789
5000000	1.503310	8.381936	0.994831	1.009381	5.950866	2.758923	1.987269
10000000	1.492141	8.353937	0.997856	1.007736	5.946629	2.716769	1.998261
20000000	1.483452	8.357488	0.997825	1.012532	5.988130	2.722702	2.009009
50000000	1.503652	8.368952	1.001947	0.998176	5.998165	2.623828	2.001314
