N	simple-vector	2d-array	vote-run	commset	multi-blocks	simple-io	motivation
10	0.006580	0.012747	0.000028	0.000390	0.000078	0.024726	0.002162
20	0.006694	0.012911	0.000039	0.000402	0.000081	0.024871	0.002148
50	0.006726	0.013213	0.000079	0.000388	0.000128	0.024197	0.002161
100	0.006753	0.013425	0.000135	0.000419	0.000210	0.025278	0.002104
200	0.006943	0.013768	0.000262	0.000403	0.000357	0.024927	0.002270
500	0.006950	0.014488	0.000621	0.000424	0.000802	0.024516	0.002404
1000	0.007416	0.016136	0.001214	0.000558	0.001581	0.024373	0.002799
2000	0.007872	0.018970	0.002443	0.000653	0.003087	0.024682	0.003267
5000	0.009848	0.028125	0.006143	0.001020	0.007715	0.025501	0.005223
10000	0.012881	0.043076	0.012234	0.002171	0.015236	0.024869	0.008295
20000	0.018975	0.073444	0.024636	0.003309	0.030608	0.025329	0.014479
50000	0.037318	0.163057	0.060842	0.006884	0.076362	0.027334	0.032855
100000	0.067981	0.311908	0.121702	0.012724	0.152355	0.029499	0.063123
200000	0.128213	0.614360	0.242746	0.023837	0.303376	0.033677	0.124071
500000	0.310466	1.508487	0.605191	0.055740	0.758152	0.044695	0.305369
1000000	0.612915	3.012461	1.210031	0.108622	1.523426	0.067838	0.611328
2000000	1.224767	5.997615	2.420134	0.220253	3.033866	0.106397	1.219283
5000000	3.047028	15.065838	6.073924	0.558766	7.574321	0.233241	3.035131
10000000	6.051551	30.230175	12.119617	1.103754	15.101552	0.400948	6.041619
20000000	12.090107	59.903435	24.239179	2.207746	30.300960	0.767174	12.644576
50000000	30.416330	150.032501	60.563184	5.816851	75.821484	1.986348	30.265042
