N	2d-array	commset	commset-potrace	commset-kmeans
10	0.004191	0.000316	0.000772	0.018324
20	0.004252	0.000341	0.000795	0.024093
50	0.004228	0.000309	0.000763	0.023460
100	0.004426	0.000295	0.000791	0.020839
200	0.004399	0.000299	0.000812	0.021135
500	0.004393	0.000312	0.000759	0.019321
1000	0.004724	0.000335	0.000808	0.020890
2000	0.005057	0.000329	0.000867	0.022276
5000	0.006175	0.000565	0.000891	0.019935
10000	0.007636	0.000722	0.000988	0.018800
20000	0.011004	0.001004	0.001112	0.017687
50000	0.021667	0.002683	0.001587	0.012601
100000	0.039518	0.004620	0.002328	0.011796
200000	0.075327	0.008451	0.004063	0.009319
500000	0.183716	0.022496	0.008885	0.010173
1000000	0.363546	0.043848	0.016584	0.011758
2000000	0.724023	0.070400	0.030565	0.013706
5000000	1.805607	0.166548	0.066032	0.021822
10000000	3.604755	0.304932	0.159785	0.035919
20000000	7.186478	0.558423	0.283326	0.063312
50000000	17.978718	1.457305	1.012682	0.145136
