N	2d-array	commset	commset-potrace	commset-kmeans
10	3.120461	1.328120	2.625032	1.027907
20	3.113342	1.310207	2.389498	0.789313
50	3.160174	1.365187	2.601009	0.797289
100	3.081952	1.384798	2.578289	0.902794
200	3.180934	1.513065	2.412578	0.894698
500	3.420343	1.467291	2.653197	0.984033
1000	3.481995	1.533371	2.599860	0.907719
2000	3.856354	1.949758	2.501492	0.838983
5000	4.631447	1.677258	2.843505	0.939988
10000	5.700030	2.780308	3.638164	0.999626
20000	6.686973	3.152275	4.071019	1.087602
50000	7.557977	2.330767	4.629176	1.565712
100000	7.924809	2.439200	4.987002	1.787579
200000	8.140748	2.529377	5.039401	2.490991
500000	8.230777	2.196563	5.084738	3.051761
1000000	8.302017	2.270066	5.170739	3.662790
2000000	8.301536	2.757641	5.594795	4.887400
5000000	8.317463	2.915649	6.455035	6.438040
10000000	8.322990	3.203747	5.310025	7.310495
20000000	8.367435	3.501456	5.913144	7.986645
50000000	8.374478	3.465748	4.293917	8.516663
