N	2d-array	commset	commset-potrace	commset-kmeans
10	0.013077	0.000420	0.002024	0.018746
20	0.013239	0.000438	0.001899	0.019005
50	0.013358	0.000422	0.001985	0.018707
100	0.013640	0.000409	0.002038	0.018805
200	0.013993	0.000454	0.001959	0.018891
500	0.015027	0.000459	0.002012	0.018904
1000	0.016447	0.000514	0.002098	0.018877
2000	0.019499	0.000641	0.002169	0.018635
5000	0.028567	0.000927	0.002535	0.018739
10000	0.043521	0.002007	0.003592	0.018793
20000	0.073582	0.003164	0.004523	0.019211
50000	0.163764	0.006252	0.007347	0.019719
100000	0.313168	0.011263	0.011590	0.021059
200000	0.613225	0.021375	0.020468	0.023186
500000	1.512116	0.049375	0.045120	0.031040
1000000	3.018166	0.096823	0.085595	0.043051
2000000	6.010502	0.193879	0.170325	0.066847
5000000	15.018065	0.485475	0.426245	0.140450
10000000	30.002332	0.976534	0.832483	0.262013
20000000	60.132396	1.953926	1.665077	0.505624
50000000	150.562720	5.047447	4.347513	1.236041
