N	array1	array2	array3	conditional	ht-cond-mem-get	loop-inter	array-disjoint	ht-add-put	ht-cond-size-get	ht-simple	calc	matrix	counter	dict	loop-disjoint	loop-simple	linear	nonlinear	simple	even-odd	linear-bool	linear-cond	dot-product	loop-amt
10	0.117075	0.114013	0.303115	0.153781	0.156613	0.241329	0.238942	0.160183	0.207695	0.231852	0.289319	0.265197	0.193512	0.198545	0.341320	0.177645	0.240772	0.260290	0.236894	0.101015	0.217459	0.246506	0.230619	0.283235
20	0.173534	0.168710	0.234901	0.189258	0.146176	0.265366	0.213844	0.191940	0.223235	0.264723	0.197512	0.312097	0.176944	0.212916	0.347907	0.287043	0.252310	0.266649	0.194444	0.147458	0.168916	0.211289	0.234013	0.381725
50	0.206977	0.157146	0.168343	0.219116	0.193730	0.430541	0.302345	0.198256	0.177764	0.171294	0.223197	0.308703	0.208333	0.226008	0.761722	0.315245	0.199172	0.096562	0.243165	0.152499	0.239565	0.181164	0.202465	0.605742
100	0.136050	0.142214	0.330396	0.241943	0.188795	0.457312	0.124274	0.213163	0.280728	0.310336	0.220946	0.248500	0.196950	0.207785	0.800935	0.457186	0.173205	0.241287	0.239746	0.195865	0.162866	0.270684	0.246183	0.725012
200	0.159267	0.135595	0.232013	0.189466	0.275293	0.322823	0.307662	0.273059	0.295989	0.210024	0.240738	0.268866	0.143256	0.177853	1.015847	0.732623	0.215166	0.300558	0.204276	0.128928	0.189321	0.232577	0.207733	0.665553
500	0.159111	0.281262	0.301969	0.249029	0.201008	0.367673	0.238783	0.229990	0.304034	0.286542	0.190150	0.380967	0.185383	0.269859	1.469080	0.774276	0.363710	0.240011	0.314627	0.168606	0.157935	0.180308	0.231249	0.818096
1000	0.166430	0.252664	0.251864	0.205798	0.151367	0.267615	0.203579	0.240192	0.172848	0.272304	0.227063	0.235867	0.168260	0.223607	1.370102	0.794351	0.219123	0.220846	0.197880	0.139419	0.148077	0.234490	0.272772	0.945017
2000	0.199453	0.261161	0.276026	0.123902	0.242161	0.287765	0.324662	0.193082	0.199715	0.229526	0.225902	0.174037	0.193649	0.245324	1.714564	0.901024	0.199620	0.135845	0.363880	0.198030	0.169880	0.277913	0.239929	0.847523
5000	0.163732	0.189832	0.262314	0.364486	0.187121	0.407785	0.213003	0.247027	0.198867	0.302335	0.182543	0.615150	0.173066	0.246183	0.925958	0.784746	0.188982	0.285198	0.292035	0.221585	0.234753	0.285293	0.306304	0.995546
10000	0.273851	0.198645	0.329086	0.322286	0.218956	0.453163	0.336962	0.245599	0.245582	0.289151	0.456804	0.499152	0.294275	0.319939	1.154580	0.854042	0.289487	0.269787	0.221336	0.316228	0.275431	0.274921	0.370810	0.983778
20000	0.243806	0.342490	0.493375	0.424577	0.367082	0.506897	0.405442	0.546296	0.418819	0.381849	0.381413	0.407231	0.311925	0.449089	0.966103	0.889966	0.513553	0.371264	0.406300	0.349934	0.362396	0.306475	0.409808	0.958373
50000	0.363749	0.516572	0.566857	0.661136	0.468675	0.563251	0.540795	0.463654	0.697731	0.602347	0.597463	0.363616	0.503595	0.495708	1.150421	0.860141	0.411588	0.553069	0.565204	0.490160	0.551677	0.665211	0.563662	0.959463
100000	0.616456	0.702849	0.875973	1.035074	0.531215	0.714377	0.748121	0.617862	0.936861	0.684572	0.805819	0.631930	0.533648	0.720919	1.041894	0.928973	0.694430	0.872941	0.869939	0.446202	0.892001	1.012861	0.741310	0.979384
200000	0.810702	1.351046	1.155312	1.192570	0.984009	0.943318	0.981139	1.246413	1.382178	0.719363	0.816444	1.070787	0.994324	0.961561	1.318323	0.974259	1.655133	0.265482	1.232135	0.766190	1.291911	1.011215	1.097888	0.977181
500000	0.837481	1.088584	1.436933	1.569257	0.931829	0.713534	1.526834	0.792553	1.190031	1.092005	1.664452	1.174930	1.408165	1.299151	1.082402	0.968951	1.389350	0.551831	1.516265	0.845706	1.122300	1.196943	1.114198	0.956213
1000000	1.256663	1.679869	1.652652	1.778903	0.965298	1.064822	1.279908	0.902530	1.326727	0.745182	1.606809	1.553868	1.244160	1.590720	1.058374	0.944806	1.177336	1.058358	1.559954	0.917981	2.577996	1.201649	1.662077	0.968107
2000000	1.827496	1.697230	1.525750	2.033528	1.762250	0.982037	1.703965	0.942815	1.816248	1.249423	1.886946	1.798374	1.302714	1.816764	1.402757	0.960942	1.757966	0.974658	1.522284	0.949664	1.823965	2.082718	1.855906	0.947412
5000000	1.376684	1.849428	1.574046	1.881333	1.611163	1.014782	2.005558	0.990240	1.882076	1.368515	1.983491	1.816776	1.897638	1.996214	1.159966	0.979311	1.966748	1.625582	1.969886	0.987623	1.930791	1.543302	1.959924	0.927556
10000000	1.300248	1.865097	1.667708	1.978001	1.408357	1.185893	1.294905	0.989813	1.986262	1.963143	1.980917	1.990525	1.769950	1.679976	1.802666	0.931025	1.774341	1.786504	1.986378	0.986635	1.882048	1.780462	1.771808	0.950434
20000000	1.873436	1.919244	1.875242	1.859678	1.911638	0.986682	1.867459	1.403748	1.870731	1.836282	2.252469	1.819965	1.827461	1.845988	1.472020	0.968206	1.862855	1.837397	1.870348	0.957007	1.887933	1.848680	1.857677	0.955271
50000000	1.534505	1.936598	1.952652	1.941973	0.992735	1.006950	1.954657	0.986184	1.430142	1.982471	1.953048	1.907658	1.948141	1.965318	1.075441	0.946753	1.937527	1.926978	2.125596	0.969903	1.963339	1.948905	1.939810	0.930799
100000000	1.975413	1.984484	1.970138	1.947379	1.996584	0.999218	1.972195	1.986156	2.109585	0.996475	1.966497	1.949603	1.671955	1.968543	1.031210	0.952409	1.970686	1.959483	1.962445	0.992795	1.965342	1.971262	1.968143	0.952711
