N	array1	array2	array3	conditional	ht-cond-mem-get	loop-inter	array-disjoint	ht-add-put	ht-cond-size-get	ht-simple	calc	matrix	counter	dict	loop-disjoint	loop-simple	linear	nonlinear	simple	even-odd	linear-bool	linear-cond	dot-product	loop-amt
10	0.000012	0.000010	0.000019	0.000007	0.000017	0.000017	0.000012	0.000015	0.000011	0.000021	0.000015	0.000017	0.000012	0.000017	0.000015	0.000019	0.000016	0.000020	0.000018	0.000010	0.000012	0.000022	0.000013	0.000019
20	0.000013	0.000013	0.000014	0.000007	0.000016	0.000017	0.000011	0.000014	0.000011	0.000031	0.000015	0.000017	0.000013	0.000022	0.000019	0.000031	0.000012	0.000019	0.000014	0.000010	0.000016	0.000015	0.000017	0.000030
50	0.000017	0.000013	0.000012	0.000008	0.000017	0.000019	0.000012	0.000016	0.000011	0.000023	0.000017	0.000017	0.000015	0.000017	0.000043	0.000058	0.000012	0.000018	0.000013	0.000013	0.000012	0.000016	0.000014	0.000063
100	0.000012	0.000012	0.000019	0.000008	0.000017	0.000024	0.000011	0.000016	0.000015	0.000024	0.000014	0.000017	0.000017	0.000017	0.000062	0.000116	0.000012	0.000018	0.000014	0.000014	0.000011	0.000022	0.000018	0.000101
200	0.000012	0.000012	0.000013	0.000007	0.000025	0.000017	0.000015	0.000017	0.000016	0.000023	0.000021	0.000017	0.000012	0.000019	0.000112	0.000250	0.000013	0.000024	0.000013	0.000010	0.000016	0.000021	0.000015	0.000166
500	0.000013	0.000034	0.000015	0.000011	0.000024	0.000025	0.000012	0.000017	0.000011	0.000024	0.000015	0.000027	0.000012	0.000024	0.000365	0.000517	0.000017	0.000017	0.000014	0.000013	0.000012	0.000015	0.000016	0.000437
1000	0.000012	0.000017	0.000014	0.000008	0.000019	0.000018	0.000012	0.000016	0.000011	0.000025	0.000016	0.000016	0.000013	0.000019	0.000579	0.001022	0.000012	0.000018	0.000013	0.000011	0.000012	0.000023	0.000020	0.000896
2000	0.000013	0.000026	0.000014	0.000008	0.000020	0.000019	0.000017	0.000016	0.000013	0.000029	0.000017	0.000018	0.000017	0.000019	0.001130	0.002081	0.000015	0.000028	0.000022	0.000012	0.000013	0.000024	0.000017	0.001849
5000	0.000015	0.000021	0.000017	0.000011	0.000021	0.000021	0.000014	0.000029	0.000013	0.000033	0.000017	0.000036	0.000019	0.000025	0.002513	0.003644	0.000016	0.000022	0.000017	0.000013	0.000016	0.000025	0.000022	0.003418
10000	0.000018	0.000019	0.000027	0.000014	0.000024	0.000025	0.000017	0.000022	0.000017	0.000029	0.000035	0.000031	0.000027	0.000023	0.003948	0.006351	0.000019	0.000024	0.000020	0.000022	0.000020	0.000023	0.000021	0.005579
20000	0.000024	0.000034	0.000026	0.000019	0.000037	0.000036	0.000026	0.000044	0.000032	0.000034	0.000027	0.000030	0.000024	0.000035	0.006818	0.011914	0.000034	0.000031	0.000026	0.000023	0.000023	0.000029	0.000027	0.010080
50000	0.000042	0.000044	0.000057	0.000037	0.000071	0.000063	0.000041	0.000046	0.000043	0.000075	0.000046	0.000046	0.000041	0.000051	0.015444	0.028188	0.000041	0.000046	0.000048	0.000044	0.000042	0.000071	0.000044	0.023667
