N	simple-vector	2d-array	vote-run	commset	multi-blocks	simple-io	motivation
10	0.031094	0.166660	0.000620	0.001405	0.001252	1.368430	9.442882
20	0.033957	0.170092	0.001285	0.002009	0.001102	1.339687	9.387664
50	0.030207		0.001234	0.001444		1.331247	9.273303
100	0.018961	0.147845	0.001306	0.001412		1.311152	9.870524
200	0.029245	0.153834	0.001039	0.001151		1.326046	9.546388
500	0.022788	0.160154	0.002885	0.001207		1.340957	9.425082
1000	0.030675	0.162810	0.004724	0.002219	0.002086	1.310382	8.753034
2000	0.038723	0.150828	0.006413	0.001386	0.002821	1.343663	9.578245
5000	0.041861	0.135734	0.007321	0.001730		1.353002	9.559100
10000	0.033901	0.177346	0.009421	0.001994	0.014449	1.345797	9.536951
20000	0.045120	0.143335	0.018418	0.003555	0.027731	1.366545	9.526939
50000	0.071459	0.202987	0.047471	0.023666	0.054133	1.438233	9.429649
100000	0.111421	0.212016	0.073060	0.040373	0.109440	1.491652	9.911035
200000	0.224251	0.332703	0.133594	0.035342	0.194975	1.700791	9.596798
500000	0.524816	0.737156	0.379598	0.101452	0.505574	1.992418	9.790221
1000000	1.052160	1.743617	0.903893	0.131137	0.910299	2.707049	9.616450
2000000	1.972772	2.824781	1.217987	0.301413	1.825055	4.160201	9.810242
5000000	4.979330	6.953911	3.354682	0.563404	4.865426	8.634259	9.784047
10000000	9.813222	14.244435	6.664444	0.981692	8.968115	16.549393	9.365898
20000000	19.795354	27.970291	14.265841	1.628845	17.814943	30.754191	9.636252
50000000	48.691534	69.149627	31.076230	3.449848	41.625010	57.725532	10.514719
