N	simple-vector	2d-array	vote-run	commset	multi-blocks	simple-io	motivation
10	0.167286	0.055456	0.079701	0.430437	0.162523	0.966066	0.000597
20	0.170883	0.057718	0.095150	0.269097	0.235298	0.981247	0.000545
50	0.186668		0.088486	0.495002		0.980090	0.000593
100	0.287313	0.090026	0.154350	0.579891		0.990895	0.000532
200	0.240113	0.069363	0.439415	0.550541		0.995908	0.000557
500	0.258190	0.072665	0.576417	0.643327		0.977811	0.000554
1000	0.237772	0.097576	0.622971	0.284054	1.394100	1.005476	0.000820
2000	0.255005	0.155856	0.615639	0.610182	2.186601	1.025348	0.000545
5000	0.363119	0.270014	1.250703	0.769003		0.978669	0.000578
10000	0.622236	0.345427	2.021740	1.082943	2.184668	0.993521	0.000653
20000	0.830025	0.744735	2.432828	1.051194	2.068466	0.979153	0.000590
50000	1.067692	1.243553	1.995083	0.345931	2.548951	0.955487	0.000626
100000	1.296691	2.198538	2.595492	0.238385	2.665459	0.987606	0.000614
200000	1.302459	2.730567	2.759219	0.589839	2.765940	0.945881	0.000653
500000	1.354251	3.107900	2.581988	0.506345	2.799983	0.973343	0.000578
1000000	1.350043	3.007897	2.078048	0.655224	2.982196	0.959041	0.000653
2000000	1.402772	3.224738	3.055493	0.583637	3.031774	0.979568	0.000865
5000000	1.388295	3.245972	2.754440	0.779155	2.858142	1.065803	0.001062
10000000	1.418381	3.182387	2.768108	0.879120	3.080682	1.201800	0.001666
20000000	1.403734	3.233876	2.579020	1.059035	3.065822	1.729109	0.002654
50000000	1.421873	3.271189	2.881577	1.324206	3.211938	1.828071	0.005111
