N	simple-vector	2d-array	vote-run	commset	multi-blocks	simple-io	motivation
10	0.010304	0.015752	0.000036	0.000491		1.500775	0.007175
20	0.008288	0.023653	0.000091	0.000739	0.000165	1.533176	0.006804
50	0.009963	0.017133	0.000138	0.000581	0.000318	1.464765	0.009883
100	0.008750	0.015939	0.000204	0.000609	0.000371	1.488170	0.008092
200	0.010331	0.015929	0.000480	0.000559	0.000717	1.471778	0.008429
500	0.007593	0.015981	0.000897	0.000586	0.001733	1.451990	0.007171
1000	0.010120	0.021043	0.003491	0.000960	0.004286	1.582436	0.007385
2000	0.012043	0.027207	0.003549	0.000794	0.006679	1.411886	0.007383
5000	0.016446	0.042365	0.011187	0.001065	0.016172	1.762132	0.009660
10000	0.021945	0.066450	0.023158	0.003411	0.030221	1.577687	0.010903
20000	0.047417	0.137027	0.043826	0.003187	0.060260	1.535845	0.009159
50000	0.102031	0.314659	0.126779	0.006840		1.689573	0.006498
100000	0.171375	0.520508	0.203462	0.011127	0.300888	1.721589	0.008054
200000	0.409933	1.096461	0.414600	0.022154	0.669383	1.764493	0.006865
500000	0.908347	3.386837	1.237284	0.054467	1.615343	2.553395	0.008276
1000000	1.649811	5.178655	2.045251	0.092497	3.110944	3.067043	0.010368
2000000	3.143540	10.427855	4.089369	0.202182		4.764820	0.014136
5000000	8.277118	25.580783	10.409128	0.473789	15.482357	10.885991	0.014744
